 0              300            2036.3253      10252.255     -2220.2982     -2200.4827    
 0.1            192.49758      2730.2848      10252.255     -2205.4722     -2200.4582    
 0.2            216.83946      3173.7741      10252.255     -2201.8215     -2200.4526    
 0.3            269.83234      3374.6081      10252.255     -2201.2317     -2200.4542    
 0.4            244.52757      3142.6008      10252.255     -2198.5847     -2200.4516    
 0.5            291.3842       3408.8987      10252.255     -2201.0128     -2200.4546    
 0.6            306.27523      3608.888       10252.255     -2201.8626     -2200.4557    
 0.7            239.56447      3445.5403      10252.255     -2198.1646     -2200.4493    
 0.8            289.82642      3219.9868      10252.255     -2202.1952     -2200.4574    
 0.9            290.35943      3559.3213      10252.255     -2200.6883     -2200.4527    
 1              239.37597      3665.3552      10252.255     -2197.9003     -2200.4481    
 1.1            306.88028      3766.4767      10252.255     -2202.3553     -2200.4543    
 1.2            329.42805      3632.1309      10252.255     -2202.2966     -2200.4557    
 1.3            316.52393      3829.2908      10252.255     -2200.4218     -2200.4533    
 1.4            313.33218      3581.6401      10252.255     -2200.7848     -2200.4522    
 1.5            289.26844      3602.229       10252.255     -2198.5223     -2200.4514    
 1.6            315.98492      4075.7626      10252.255     -2199.9642     -2200.4504    
 1.7            334.47623      3812.6052      10252.255     -2202.1976     -2200.4549    
 1.8            328.12452      3817.0282      10252.255     -2200.5128     -2200.4536    
 1.9            301.58701      3964.0692      10252.255     -2198.0236     -2200.4469    
 2              338.28774      3959.3849      10252.255     -2199.6152     -2200.4519    
 2.1            271.96881      3519.4039      10252.255     -2197.3038     -2200.4494    
 2.2            324.96015      3759.2252      10252.255     -2200.7223     -2200.4537    
 2.3            280.27352      3628.7345      10252.255     -2199.4905     -2200.4521    
 2.4            269.87728      3669.4464      10252.255     -2197.8645     -2200.4505    
 2.5            271.63638      3613.8663      10252.255     -2197.4946     -2200.4499    
 2.6            357.79956      3942.2861      10252.255     -2202.3676     -2200.4559    
 2.7            261.50704      3994.9055      10252.255     -2196.9118     -2200.4455    
 2.8            292.10059      3712.6059      10252.255     -2200.9764     -2200.4532    
 2.9            312.04119      3594.0214      10252.255     -2202.4414     -2200.457     
 3              304.9889       3667.4114      10252.255     -2201.0247     -2200.452     
 3.1            287.42042      3452.0346      10252.255     -2201.404      -2200.4544    
 3.2            301.32183      3589.8013      10252.255     -2202.3121     -2200.4545    
 3.3            294.50979      3596.4291      10252.255     -2201.0611     -2200.4544    
 3.4            304.59518      3208.7644      10252.255     -2202.2043     -2200.4575    
 3.5            287.34572      3662.0038      10252.255     -2199.8778     -2200.4499    
 3.6            288.0143       3936.1475      10252.255     -2198.8826     -2200.4491    
